Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
4,36,627,0.03, stagnated 
5,36,1514,0.0429, stagnated 
6,36,1033,0.0285, stagnated 
7,36,1014,0.0252, stagnated 
8,36,3416,0.0324, stagnated 
9,36,1214,0.0312, stagnated 
10,36,1862,0.0299, stagnated 
1,37,593,0.0339, stagnated 
2,37,1012,0.0312, stagnated 
3,37,1163,0.0356, stagnated 
4,37,439,0.0299, stagnated 
5,37,1097,0.0259, stagnated 
6,37,1554,0.0293, stagnated 
7,37,1501,0.0305, stagnated 
8,37,1551,0.0331, stagnated 
9,37,1126,0.0285, stagnated 
10,37,2660,0.0316, stagnated 
1,38,273,0.0368, stagnated 
2,38,716,0.028, stagnated 
3,38,788,0.034, stagnated 
4,38,3343,0.0299, stagnated 
5,38,2231,0.0403, stagnated 
6,38,2379,0.0236, stagnated 
7,38,1727,0.0267, stagnated 
8,38,1200,0.0307, stagnated 
9,38,943,0.0269, stagnated 
10,38,901,0.0261, stagnated 
1,39,754,0.0387, stagnated 
2,39,1119,0.0327, stagnated 
3,39,1838,0.0212, stagnated 
4,39,616,0.0312, stagnated 
5,39,947,0.0281, stagnated 
6,39,1444,0.0301, stagnated 
7,39,1979,0.0283, stagnated 
8,39,373,0.0287, stagnated 
9,39,1338,0.0287, stagnated 
10,39,527,0.0311, stagnated 
1,40,573,0.0302, stagnated 
2,40,1552,0.0305, stagnated 
3,40,710,0.0392, stagnated 
4,40,1986,0.0333, stagnated 
5,40,635,0.0322, stagnated 
6,40,2350,0.0348, stagnated 
7,40,399,0.0313, stagnated 
8,40,1609,0.0327, stagnated 
9,40,876,0.029, stagnated 
10,40,350,0.0347, stagnated 
1,41,1069,0.0397, stagnated 
2,41,625,0.0316, stagnated 
3,41,762,0.0312, stagnated 
4,41,1796,0.0302, stagnated 
5,41,1819,0.0326, stagnated 
6,41,1009,0.0269, stagnated 
7,41,729,0.0285, stagnated 
8,41,1068,0.0265, stagnated 
9,41,1948,0.0312, stagnated 
10,41,765,0.0273, stagnated 
1,42,1026,0.0339, stagnated 
2,42,1340,0.0346, stagnated 
3,42,1045,0.0314, stagnated 
4,42,1066,0.0278, stagnated 
5,42,2920,0.0268, stagnated 
6,42,843,0.0293, stagnated 
7,42,735,0.0286, stagnated 
8,42,2279,0.0311, stagnated 
9,42,1646,0.0295, stagnated 
10,42,661,0.0331, stagnated 
1,43,719,0.0332, stagnated 
2,43,1075,0.0375, stagnated 
3,43,1346,0.0343, stagnated 
4,43,1531,0.0252, stagnated 
5,43,1468,0.0308, stagnated 
6,43,2003,0.0329, stagnated 
7,43,3796,0.0345, stagnated 
8,43,1255,0.0317, stagnated 
9,43,1207,0.0317, stagnated 
10,43,1069,0.0289, stagnated 
1,44,660,0.0348, stagnated 
2,44,606,0.0372, stagnated 
3,44,404,0.0374, stagnated 
4,44,965,0.0294, stagnated 
5,44,1914,0.0295, stagnated 
6,44,992,0.0252, stagnated 
